Compartment,Age of forest,LoggingRotation,Leaflitter1,Leaflitter2,Leaflitter3,Leaflitter4,Leaflitter5,Leaflitter6,Leaflitter7,Leaflitter8,Leaflitter9,Leaflitter10,Leaflitter11,CanopyClosure1,CanopyClosure2,CanopyClosure3,CanopyClosure4,CanopyClosure5,CanopyClosure6,CanopyClosure7,CanopyClosure8,CanopyClosure9,CanopyClosure10,CanopyClosure11,CanopyClosure12,HerbHeight1,HerbHeight2,HerbHeight3,HerbHeight4,HerbHeight5,HerbHeight6
JI39,31,2,2,2,4,3,2,3,3,NA,NA,NA,NA,100,96,83,83,54,87,100,100,NA,NA,NA,NA,90,50,110,0,NA,NA
JI39,31,2,3,3,3,2,2,3,3,NA,NA,NA,NA,92,100,71,96,87,71,62,92,NA,NA,NA,NA,70,140,120,130,NA,NA
B3,36,2,3,5,2,3,3,3,2,3,3,1,2,79,87,87,96,96,92,100,83,75,42,25,21,110,130,0,150,150,30
B3,36,2,1,1,1,0,0,0,0,0,0,0,0,75,33,17,21,0,0,21,0,54,83,87,25,150,150,70,30,110,110
B3,36,2,3,2,2,3,2,3,3,4,4,3,4,54,83,75,71,71,92,46,62,58,79,25,67,80,90,30,40,30,110
B3,36,2,3,3,4,0,0,0,0,0,0,0,0,4,25,50,75,0,0,0,0,0,0,0,0,150,150,40,70,20,0
B3,36,2,0,0,0,4,3,3,2,4,6,2,3,0,0,0,0,87,92,96,100,92,87,87,96,150,150,60,90,150,60
B3,36,2,3,3,5,3,2,2,2,2,3,6,2,100,100,100,100,87,100,92,100,NA,NA,NA,NA,80,0,70,150,50,0
JU68,46,2,3,2,2,3,3,3,2,5,6,3,5,96,87,83,92,100,100,58,100,96,100,92,96,70,90,80,50,0,40
JU68,46,2,3,2,3,3,3,5,3,2,3,2,4,96,87,100,96,92,100,87,96,87,96,87,83,80,120,90,80,70,120
JU68,46,2,2,1,1,1,2,2,3,2,1,1,2,87,100,100,75,96,100,100,96,92,67,100,75,70,60,0,50,30,70
JI38B,36,2,3,2,2,3,2,3,3,NA,NA,NA,NA,42,92,96,100,83,87,75,54,NA,NA,NA,NA,60,150,50,60,NA,NA
JI38B,36,2,2,2,2,3,3,3,4,NA,NA,NA,NA,71,100,46,100,100,83,46,100,NA,NA,NA,NA,100,110,100,100,NA,NA
JI38B,36,2,3,3,2,3,3,1,3,NA,NA,NA,NA,75,75,71,75,50,100,75,83,NA,NA,NA,NA,50,0,70,80,NA,NA
JI38B,36,2,1,1,1,3,3,4,2,NA,NA,NA,NA,100,21,25,0,0,0,4,75,NA,NA,NA,NA,80,110,130,100,NA,NA
JI38B,36,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,42,NA,NA,NA,NA,NA,NA,NA,NA,120,130,NA,NA,NA,NA
JI38B,36,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JI38B,36,2,2,3,3,2,2,3,3,NA,NA,NA,NA,100,100,79,100,87,87,79,83,NA,NA,NA,NA,20,70,70,100,NA,NA
JI38B,36,2,2,2,5,2,1,3,2,NA,NA,NA,NA,83,83,79,100,100,25,75,67,NA,NA,NA,NA,30,80,60,150,NA,NA
JI38B,36,2,3,2,2,2,1,2,2,NA,NA,NA,NA,67,71,42,62,100,58,92,100,NA,NA,NA,NA,90,60,50,100,NA,NA
JI38B,36,2,2,2,4,2,2,1,2,NA,NA,NA,NA,79,96,87,58,33,79,75,92,NA,NA,NA,NA,70,50,60,10,NA,NA
JI38B,36,2,2,2,2,2,2,3,3,NA,NA,NA,NA,100,100,83,100,79,100,79,79,NA,NA,NA,NA,80,120,90,140,NA,NA
B14,36,2,3,3,5,4,3,3,4,NA,NA,NA,NA,83,87,83,92,87,100,100,100,NA,NA,NA,NA,110,60,40,100,NA,NA
B14,36,2,4,3,3,5,4,4,2,NA,NA,NA,NA,79,79,92,92,96,96,92,83,NA,NA,NA,NA,40,80,90,120,NA,NA
B14,36,2,2,2,3,3,3,2,3,NA,NA,NA,NA,96,92,58,92,100,96,75,100,NA,NA,NA,NA,90,30,60,70,NA,NA
B14,36,2,3,6,5,4,3,3,3,NA,NA,NA,NA,96,96,96,79,62,100,79,100,NA,NA,NA,NA,70,60,80,80,NA,NA
B14,36,2,3,2,3,2,2,3,3,NA,NA,NA,NA,100,92,62,100,92,83,75,87,NA,NA,NA,NA,100,50,80,0,NA,NA
B14,36,2,3,3,3,3,2,2,2,NA,NA,NA,NA,87,100,75,92,87,100,92,87,NA,NA,NA,NA,40,70,70,30,NA,NA
JU68,46,2,4,4,3,3,3,3,4,NA,NA,NA,NA,100,87,79,75,100,92,83,75,NA,NA,NA,NA,60,50,40,50,NA,NA
JU68,46,2,4,5,4,4,8,6,6,NA,NA,NA,NA,100,79,92,87,100,100,96,79,NA,NA,NA,NA,80,130,40,40,NA,NA
JU68,46,2,2,3,3,4,5,4,3,NA,NA,NA,NA,92,62,92,67,87,79,71,100,NA,NA,NA,NA,60,60,40,50,NA,NA
JU68,46,2,4,2,5,5,4,2,6,NA,NA,NA,NA,100,100,87,79,100,100,92,100,NA,NA,NA,NA,60,50,60,20,NA,NA
JU68,46,2,5,4,7,5,4,3,5,NA,NA,NA,NA,96,54,83,96,96,92,79,92,NA,NA,NA,NA,50,110,40,120,NA,NA
JU68,46,2,6,8,4,3,5,2,4,NA,NA,NA,NA,58,100,100,17,92,87,87,79,NA,NA,NA,NA,140,70,60,70,NA,NA
PS26,NA,NA,3,2,3,2,3,4,2,1,6,2,1,100,96,87,96,100,92,96,67,79,87,92,100,70,100,70,50,110,110
